Question,OptionA,OptionB,OptionC,OptionD,Correct,Description
Given Employed equals 24836 Unemployed equals 1352 Adult population equals 29090 what are the unemployment rate and the labour force participation rate,94.8 percent and 90.0 percent,5.2 percent and 10.0 percent,90.0 percent and 5.2 percent,5.2 percent and 90.0 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 9 percent and real GDP grows 1 percent what is the predicted inflation rate in the quantity theory,13 percent,8 percent,6 percent,10 percent,B,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 27246 Unemployed equals 2119 Adult population equals 30135 what are the unemployment rate and the labour force participation rate,7.2 percent and 97.4 percent,7.2 percent and 2.5999999999999943 percent,97.4 percent and 7.2 percent,92.8 percent and 97.4 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 7 percent and real GDP grows 1 percent what is the predicted inflation rate in the quantity theory,4 percent,11 percent,6 percent,8 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 105 to 130 what is the inflation rate for the period,33.8 percent,18.8 percent,28.8 percent,23.8 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 95 to 105 what is the inflation rate for the period,15.5 percent,10.5 percent,20.5 percent,5.5 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If money supply grows 4 percent and real GDP grows 5 percent what is the predicted inflation rate in the quantity theory,0 percent,1 percent,-1 percent,4 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If money supply grows 10 percent and real GDP grows 5 percent what is the predicted inflation rate in the quantity theory,7 percent,3 percent,10 percent,5 percent,D,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 33947 Unemployed equals 1127 Adult population equals 50125 what are the unemployment rate and the labour force participation rate,3.2 percent and 30.0 percent,96.8 percent and 70.0 percent,3.2 percent and 70.0 percent,70.0 percent and 3.2 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 34347 Unemployed equals 5292 Adult population equals 40905 what are the unemployment rate and the labour force participation rate,13.4 percent and 96.9 percent,13.4 percent and 3.0999999999999943 percent,86.6 percent and 96.9 percent,96.9 percent and 13.4 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 40299 Unemployed equals 1942 Adult population equals 56172 what are the unemployment rate and the labour force participation rate,4.6 percent and 24.799999999999997 percent,95.4 percent and 75.2 percent,4.6 percent and 75.2 percent,75.2 percent and 4.6 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 6 percent and real GDP grows 1 percent what is the predicted inflation rate in the quantity theory,5 percent,10 percent,7 percent,3 percent,A,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If the reserve ratio is 5 percent what is the simple money multiplier in a basic fractional reserve model,19,40,20,21,C,The simple multiplier equals one divided by the reserve ratio written as a fraction so compute one over R.
Given Employed equals 31256 Unemployed equals 174 Adult population equals 43688 what are the unemployment rate and the labour force participation rate,0.6 percent and 71.9 percent,0.6 percent and 28.099999999999994 percent,99.4 percent and 71.9 percent,71.9 percent and 0.6 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 32350 Unemployed equals 2902 Adult population equals 48968 what are the unemployment rate and the labour force participation rate,8.2 percent and 72.0 percent,91.8 percent and 72.0 percent,8.2 percent and 28.0 percent,72.0 percent and 8.2 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 117 to 122 what is the inflation rate for the period,14.3 percent,0 percent,9.3 percent,4.3 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 10314 Unemployed equals 4833 Adult population equals 35067 what are the unemployment rate and the labour force participation rate,68.1 percent and 43.2 percent,31.9 percent and 43.2 percent,43.2 percent and 31.9 percent,31.9 percent and 56.8 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 14069 Unemployed equals 5148 Adult population equals 32836 what are the unemployment rate and the labour force participation rate,73.2 percent and 58.5 percent,26.8 percent and 41.5 percent,26.8 percent and 58.5 percent,58.5 percent and 26.8 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
A credible plan to slow inflation can reduce the output cost of disinflation by lowering expected inflation quickly,Credibility has no effect,True,False,It raises unemployment permanently,B,When firms and workers believe policy guidance they adjust expectations sooner so less slack is needed to bring inflation down.
If CPI rises from 99 to 107 what is the inflation rate for the period,18.1 percent,3.0999999999999996 percent,13.1 percent,8.1 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If money supply grows 8 percent and real GDP grows 4 percent what is the predicted inflation rate in the quantity theory,2 percent,6 percent,4 percent,9 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 24594 Unemployed equals 5419 Adult population equals 43317 what are the unemployment rate and the labour force participation rate,81.9 percent and 69.3 percent,69.3 percent and 18.1 percent,18.1 percent and 69.3 percent,18.1 percent and 30.700000000000003 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 91 to 96 what is the inflation rate for the period,0.5 percent,10.5 percent,5.5 percent,15.5 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 39381 Unemployed equals 2244 Adult population equals 45917 what are the unemployment rate and the labour force participation rate,5.4 percent and 9.299999999999997 percent,94.6 percent and 90.7 percent,5.4 percent and 90.7 percent,90.7 percent and 5.4 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 109 to 127 what is the inflation rate for the period,16.5 percent,21.5 percent,26.5 percent,11.5 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 21516 Unemployed equals 1294 Adult population equals 38928 what are the unemployment rate and the labour force participation rate,5.7 percent and 58.6 percent,5.7 percent and 41.4 percent,58.6 percent and 5.7 percent,94.3 percent and 58.6 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 10 percent and real GDP grows 4 percent what is the predicted inflation rate in the quantity theory,4 percent,6 percent,11 percent,8 percent,B,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Expected inflation is 1 percent and the real interest rate is 2 percent what nominal rate is consistent with the Fisher equation,2 percent,3 percent,4 percent,5 percent,B,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If money supply grows 10 percent and real GDP grows 1 percent what is the predicted inflation rate in the quantity theory,7 percent,11 percent,9 percent,14 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Income received from foreign assets held by residents is part of national income but not domestic GDP,It is always in GDP,True,False,It is ignored by all measures,B,National income counts income by residents regardless of location while GDP counts production in the domestic territory.
If CPI rises from 106 to 118 what is the inflation rate for the period,11.3 percent,21.3 percent,6.300000000000001 percent,16.3 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 24569 Unemployed equals 4048 Adult population equals 48423 what are the unemployment rate and the labour force participation rate,59.1 percent and 14.1 percent,85.9 percent and 59.1 percent,14.1 percent and 59.1 percent,14.1 percent and 40.9 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 23360 Unemployed equals 4778 Adult population equals 32610 what are the unemployment rate and the labour force participation rate,83.0 percent and 86.3 percent,17.0 percent and 86.3 percent,86.3 percent and 17.0 percent,17.0 percent and 13.700000000000003 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
A negative supply shock such as a sharp rise in energy costs shifts short run aggregate supply to the left producing,Higher output with lower inflation,Lower output with lower inflation,Higher output with higher inflation,Lower output with higher inflation,D,Adverse cost shocks reduce production at each price level so the economy experiences stagflation in the short run.
In the short run an increase in government purchases shifts aggregate demand to the right which tends to,Raise output and raise the price level,Lower output and raise the price level,Lower output and lower the price level,Raise output and lower the price level,A,With sticky prices and wages a demand expansion moves the economy along SRAS delivering more output and upward pressure on prices.
Given Employed equals 43262 Unemployed equals 3607 Adult population equals 55136 what are the unemployment rate and the labour force participation rate,85.0 percent and 7.7 percent,7.7 percent and 15.0 percent,7.7 percent and 85.0 percent,92.3 percent and 85.0 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 114 to 126 what is the inflation rate for the period,20.5 percent,15.5 percent,10.5 percent,5.5 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 30606 Unemployed equals 3597 Adult population equals 38582 what are the unemployment rate and the labour force participation rate,88.7 percent and 10.5 percent,89.5 percent and 88.7 percent,10.5 percent and 88.7 percent,10.5 percent and 11.299999999999997 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 112 to 142 what is the inflation rate for the period,21.8 percent,36.8 percent,31.8 percent,26.8 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 96 to 111 what is the inflation rate for the period,25.6 percent,10.6 percent,15.6 percent,20.6 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 41997 Unemployed equals 1707 Adult population equals 52670 what are the unemployment rate and the labour force participation rate,3.9 percent and 83.0 percent,96.1 percent and 83.0 percent,3.9 percent and 17.0 percent,83.0 percent and 3.9 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 115 to 120 what is the inflation rate for the period,14.3 percent,9.3 percent,0 percent,4.3 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 39495 Unemployed equals 4813 Adult population equals 56379 what are the unemployment rate and the labour force participation rate,78.6 percent and 10.9 percent,10.9 percent and 21.400000000000006 percent,89.1 percent and 78.6 percent,10.9 percent and 78.6 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 42759 Unemployed equals 5553 Adult population equals 54887 what are the unemployment rate and the labour force participation rate,88.0 percent and 11.5 percent,88.5 percent and 88.0 percent,11.5 percent and 88.0 percent,11.5 percent and 12.0 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 116 to 126 what is the inflation rate for the period,18.6 percent,13.6 percent,8.6 percent,3.5999999999999996 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 28132 Unemployed equals 2704 Adult population equals 38821 what are the unemployment rate and the labour force participation rate,91.2 percent and 79.4 percent,8.8 percent and 20.599999999999994 percent,8.8 percent and 79.4 percent,79.4 percent and 8.8 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 27139 Unemployed equals 4398 Adult population equals 34204 what are the unemployment rate and the labour force participation rate,13.9 percent and 92.2 percent,13.9 percent and 7.799999999999997 percent,92.2 percent and 13.9 percent,86.1 percent and 92.2 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 100 to 118 what is the inflation rate for the period,13.0 percent,28.0 percent,18.0 percent,23.0 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 47084 Unemployed equals 3323 Adult population equals 54735 what are the unemployment rate and the labour force participation rate,92.1 percent and 6.6 percent,6.6 percent and 7.900000000000006 percent,93.4 percent and 92.1 percent,6.6 percent and 92.1 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 92 to 104 what is the inflation rate for the period,23.0 percent,8.0 percent,13.0 percent,18.0 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 14457 Unemployed equals 2544 Adult population equals 30813 what are the unemployment rate and the labour force participation rate,85.0 percent and 55.2 percent,15.0 percent and 44.8 percent,15.0 percent and 55.2 percent,55.2 percent and 15.0 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Which item counts in GDP as government purchases of goods and services for this year,Student receives a scholarship transfer,NZ resident earns dividends from foreign shares,Sale of a ten year old tractor,Local council hires a firm to resurface a public road,D,Government purchases reflect current production while transfers and used goods sales or foreign earned income do not add to domestic GDP this year.
Given Employed equals 34006 Unemployed equals 4713 Adult population equals 55275 what are the unemployment rate and the labour force participation rate,87.8 percent and 70.0 percent,70.0 percent and 12.2 percent,12.2 percent and 70.0 percent,12.2 percent and 30.0 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If domestic interest rates fall below foreign rates capital and the exchange rate are most likely to respond by,Capital inflow and currency appreciation,No change in flows or exchange rate,Capital outflow and currency depreciation,Capital outflow and currency appreciation,C,Lower relative returns lead investors to shift funds abroad which reduces demand for the domestic currency and weakens it.
If money supply grows 12 percent and real GDP grows 0 percent what is the predicted inflation rate in the quantity theory,12 percent,14 percent,17 percent,10 percent,A,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 97 to 102 what is the inflation rate for the period,10.2 percent,5.2 percent,0.20000000000000018 percent,15.2 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 28991 Unemployed equals 5535 Adult population equals 52448 what are the unemployment rate and the labour force participation rate,84.0 percent and 65.8 percent,16.0 percent and 34.2 percent,65.8 percent and 16.0 percent,16.0 percent and 65.8 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Expected inflation is 1 percent and the real interest rate is 4 percent what nominal rate is consistent with the Fisher equation,6 percent,4 percent,7 percent,5 percent,D,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
Given Employed equals 33910 Unemployed equals 642 Adult population equals 54016 what are the unemployment rate and the labour force participation rate,1.9 percent and 36.0 percent,1.9 percent and 64.0 percent,98.1 percent and 64.0 percent,64.0 percent and 1.9 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 104 to 109 what is the inflation rate for the period,4.8 percent,9.8 percent,0 percent,14.8 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 117 to 137 what is the inflation rate for the period,27.1 percent,17.1 percent,12.100000000000001 percent,22.1 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If money supply grows 6 percent and real GDP grows 5 percent what is the predicted inflation rate in the quantity theory,0 percent,3 percent,1 percent,6 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 106 to 114 what is the inflation rate for the period,17.5 percent,2.5 percent,12.5 percent,7.5 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 41347 Unemployed equals 1423 Adult population equals 44804 what are the unemployment rate and the labour force participation rate,96.7 percent and 95.5 percent,3.3 percent and 95.5 percent,3.3 percent and 4.5 percent,95.5 percent and 3.3 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 7 percent and real GDP grows 5 percent what is the predicted inflation rate in the quantity theory,4 percent,0 percent,7 percent,2 percent,D,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 29283 Unemployed equals 811 Adult population equals 31725 what are the unemployment rate and the labour force participation rate,2.7 percent and 94.9 percent,2.7 percent and 5.099999999999994 percent,94.9 percent and 2.7 percent,97.3 percent and 94.9 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 24565 Unemployed equals 5254 Adult population equals 34451 what are the unemployment rate and the labour force participation rate,17.6 percent and 13.400000000000006 percent,17.6 percent and 86.6 percent,82.4 percent and 86.6 percent,86.6 percent and 17.6 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 115 to 135 what is the inflation rate for the period,22.4 percent,12.399999999999999 percent,27.4 percent,17.4 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 21383 Unemployed equals 5697 Adult population equals 29090 what are the unemployment rate and the labour force participation rate,93.1 percent and 21.0 percent,21.0 percent and 6.900000000000006 percent,79.0 percent and 93.1 percent,21.0 percent and 93.1 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 38273 Unemployed equals 2467 Adult population equals 43697 what are the unemployment rate and the labour force participation rate,6.1 percent and 6.799999999999997 percent,93.2 percent and 6.1 percent,93.9 percent and 93.2 percent,6.1 percent and 93.2 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 41421 Unemployed equals 2379 Adult population equals 53502 what are the unemployment rate and the labour force participation rate,94.6 percent and 81.9 percent,5.4 percent and 81.9 percent,81.9 percent and 5.4 percent,5.4 percent and 18.099999999999994 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 32415 Unemployed equals 4865 Adult population equals 43585 what are the unemployment rate and the labour force participation rate,85.5 percent and 13.0 percent,87.0 percent and 85.5 percent,13.0 percent and 85.5 percent,13.0 percent and 14.5 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 105 to 125 what is the inflation rate for the period,19.0 percent,29.0 percent,14.0 percent,24.0 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 33522 Unemployed equals 5709 Adult population equals 57278 what are the unemployment rate and the labour force participation rate,14.6 percent and 31.5 percent,68.5 percent and 14.6 percent,85.4 percent and 68.5 percent,14.6 percent and 68.5 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Which item is excluded from current year GDP for New Zealand,Sale of a used motorbike between households,A new machine tool purchased by a factory,Software exported to Australia,New highway built by the government,A,Used goods are not current production while new public investment private investment and exports are included in GDP.
If CPI rises from 118 to 128 what is the inflation rate for the period,13.5 percent,3.5 percent,8.5 percent,18.5 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 29178 Unemployed equals 2916 Adult population equals 37924 what are the unemployment rate and the labour force participation rate,9.1 percent and 84.6 percent,84.6 percent and 9.1 percent,90.9 percent and 84.6 percent,9.1 percent and 15.400000000000006 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 94 to 106 what is the inflation rate for the period,12.8 percent,17.8 percent,7.800000000000001 percent,22.8 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 106 to 126 what is the inflation rate for the period,13.899999999999999 percent,23.9 percent,18.9 percent,28.9 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 48034 Unemployed equals 1197 Adult population equals 50116 what are the unemployment rate and the labour force participation rate,2.4 percent and 98.2 percent,2.4 percent and 1.7999999999999972 percent,98.2 percent and 2.4 percent,97.6 percent and 98.2 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Expected inflation is 3 percent and the real interest rate is 2 percent what nominal rate is consistent with the Fisher equation,6 percent,5 percent,4 percent,7 percent,B,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If CPI rises from 113 to 128 what is the inflation rate for the period,8.3 percent,18.3 percent,23.3 percent,13.3 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 41995 Unemployed equals 4172 Adult population equals 59859 what are the unemployment rate and the labour force participation rate,9.0 percent and 77.1 percent,77.1 percent and 9.0 percent,9.0 percent and 22.900000000000006 percent,91.0 percent and 77.1 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Capital flight from a country tends to depreciate its currency and raise domestic interest rates unless the central bank offsets the move,It appreciates the currency and lowers rates,False,No effect on markets,True,D,Outflows reduce demand for the currency and can tighten funding conditions pushing up domestic yields.
Given Employed equals 9435 Unemployed equals 3326 Adult population equals 20130 what are the unemployment rate and the labour force participation rate,63.4 percent and 26.1 percent,26.1 percent and 63.4 percent,26.1 percent and 36.6 percent,73.9 percent and 63.4 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 7 percent and real GDP grows 0 percent what is the predicted inflation rate in the quantity theory,9 percent,7 percent,12 percent,5 percent,B,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If banks and households prefer to hold more cash relative to deposits the money multiplier falls and deposit creation slows,Cash preferences do not matter,True,False,The multiplier rises,B,Currency drain reduces the share of new deposits that remains in the banking system weakening the deposit expansion process.
If CPI rises from 98 to 128 what is the inflation rate for the period,35.6 percent,30.6 percent,40.6 percent,25.6 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 108 to 118 what is the inflation rate for the period,4.300000000000001 percent,14.3 percent,19.3 percent,9.3 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If money supply grows 10 percent and real GDP grows 2 percent what is the predicted inflation rate in the quantity theory,10 percent,6 percent,8 percent,13 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 95 to 110 what is the inflation rate for the period,10.8 percent,25.8 percent,15.8 percent,20.8 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 21464 Unemployed equals 5862 Adult population equals 45285 what are the unemployment rate and the labour force participation rate,78.5 percent and 60.3 percent,60.3 percent and 21.5 percent,21.5 percent and 60.3 percent,21.5 percent and 39.7 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 36027 Unemployed equals 1067 Adult population equals 54117 what are the unemployment rate and the labour force participation rate,97.1 percent and 68.5 percent,68.5 percent and 2.9 percent,2.9 percent and 31.5 percent,2.9 percent and 68.5 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 5 percent and real GDP grows 1 percent what is the predicted inflation rate in the quantity theory,9 percent,4 percent,2 percent,6 percent,B,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 94 to 102 what is the inflation rate for the period,8.5 percent,18.5 percent,3.5 percent,13.5 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 20996 Unemployed equals 351 Adult population equals 27544 what are the unemployment rate and the labour force participation rate,77.5 percent and 1.6 percent,1.6 percent and 22.5 percent,98.4 percent and 77.5 percent,1.6 percent and 77.5 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 19028 Unemployed equals 4999 Adult population equals 36481 what are the unemployment rate and the labour force participation rate,20.8 percent and 65.9 percent,65.9 percent and 20.8 percent,20.8 percent and 34.099999999999994 percent,79.2 percent and 65.9 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 118 to 138 what is the inflation rate for the period,21.9 percent,26.9 percent,11.899999999999999 percent,16.9 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 91 to 116 what is the inflation rate for the period,22.5 percent,37.5 percent,32.5 percent,27.5 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 109 to 117 what is the inflation rate for the period,12.3 percent,17.3 percent,7.3 percent,2.3 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 119 to 144 what is the inflation rate for the period,21.0 percent,26.0 percent,16.0 percent,31.0 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 9212 Unemployed equals 4743 Adult population equals 22999 what are the unemployment rate and the labour force participation rate,34.0 percent and 60.7 percent,34.0 percent and 39.3 percent,60.7 percent and 34.0 percent,66.0 percent and 60.7 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 98 to 113 what is the inflation rate for the period,20.3 percent,25.3 percent,15.3 percent,10.3 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 114 to 132 what is the inflation rate for the period,20.8 percent,25.8 percent,10.8 percent,15.8 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 119 to 127 what is the inflation rate for the period,6.7 percent,16.7 percent,1.7000000000000002 percent,11.7 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If the reserve ratio is 20 percent what is the simple money multiplier in a basic fractional reserve model,10,4,5,6,C,The simple multiplier equals one divided by the reserve ratio written as a fraction so compute one over R.
Given Employed equals 46935 Unemployed equals 4505 Adult population equals 61128 what are the unemployment rate and the labour force participation rate,8.8 percent and 84.2 percent,8.8 percent and 15.799999999999997 percent,84.2 percent and 8.8 percent,91.2 percent and 84.2 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 10661 Unemployed equals 3073 Adult population equals 21750 what are the unemployment rate and the labour force participation rate,77.6 percent and 63.1 percent,22.4 percent and 63.1 percent,22.4 percent and 36.9 percent,63.1 percent and 22.4 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 9 percent and real GDP grows 4 percent what is the predicted inflation rate in the quantity theory,3 percent,5 percent,10 percent,7 percent,B,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Expected inflation is 3 percent and the real interest rate is 4 percent what nominal rate is consistent with the Fisher equation,7 percent,8 percent,6 percent,9 percent,A,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If money supply grows 7 percent and real GDP grows 4 percent what is the predicted inflation rate in the quantity theory,3 percent,5 percent,8 percent,1 percent,A,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 46297 Unemployed equals 1359 Adult population equals 56232 what are the unemployment rate and the labour force participation rate,84.7 percent and 2.9 percent,97.1 percent and 84.7 percent,2.9 percent and 15.299999999999997 percent,2.9 percent and 84.7 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 13092 Unemployed equals 5020 Adult population equals 23443 what are the unemployment rate and the labour force participation rate,27.7 percent and 77.3 percent,77.3 percent and 27.7 percent,27.7 percent and 22.700000000000003 percent,72.3 percent and 77.3 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 100 to 108 what is the inflation rate for the period,18.0 percent,13.0 percent,8.0 percent,3.0 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
